City,Temp.(F),Max Temp.(F),Humidity (%),Cloudiness,Wind Speed (mph),Latitude,Longitude,Date
0,Vila,49.19,54.0,76,40,2.24,42.03,-8.16,1579891030
1,Laguna,56.19,61.0,93,1,4.7,38.42,-121.42,1579891266
2,George Town,80.33,82.4,74,20,2.24,5.41,100.34,1579891268
3,Butaritari,84.2,84.2,74,100,8.32,3.07,172.79,1579891137
4,Hermanus,71.33,73.0,88,0,1.99,-34.42,19.23,1579891272
5,The Valley,82.65,82.99,65,40,4.7,18.22,-63.06,1579891274
6,Jamestown,43.03,46.0,45,1,10.29,42.1,-79.24,1579891277
7,Cayenne,86.0,86.0,62,40,10.29,4.93,-52.33,1579891279
8,Ilulissat,19.4,19.4,57,75,16.11,69.22,-51.1,1579891281
9,Denpasar,82.4,82.4,88,20,2.24,-8.65,115.22,1579891283
10,Geraldton,66.2,66.2,82,0,8.05,-28.77,114.6,1579891285
11,Yellowknife,5.0,5.0,84,75,8.05,62.46,-114.35,1579891052
12,Tuktoyaktuk,-2.2,-2.2,77,90,6.93,69.45,-133.04,1579891289
13,Vardo,21.29,26.6,63,75,13.87,70.37,31.11,1579891166
14,Rikitea,78.08,78.08,71,0,18.45,-23.12,-134.97,1579891294
15,Sabang,82.96,82.96,73,0,15.84,5.89,95.32,1579891296
16,Lake Havasu City,59.13,62.01,50,1,4.05,34.48,-114.32,1579891136
17,Castro,74.53,74.53,61,26,6.71,-24.79,-50.01,1579891300
18,Mzimba,64.62,64.62,96,20,5.77,-11.9,33.6,1579891302
19,Port-Gentil,82.4,82.4,83,75,8.05,-0.72,8.78,1579891304
20,Souillac,80.35,80.6,88,75,11.41,-20.52,57.52,1579891306
21,Kondopoga,28.4,28.4,86,76,8.95,62.21,34.26,1579891309
22,Ushuaia,55.4,55.4,54,75,3.06,-54.8,-68.3,1579891311
23,Busselton,62.33,64.99,53,80,11.5,-33.65,115.33,1579891313
24,Carauari,91.69,91.69,55,90,3.18,-4.88,-66.9,1579891315
25,'Ahuimanu,67.6,73.0,94,20,0.76,21.44,-157.84,1579891317
26,Faanui,82.4,82.4,74,17,14.54,-16.48,-151.75,1579891319
27,Poum,79.25,79.25,77,78,21.05,-20.23,164.02,1579891321
28,Bilma,66.11,66.11,11,0,7.25,18.69,12.92,1579891323
29,Hayden,40.1,44.6,100,90,4.7,47.77,-116.79,1579891325
30,Matara,73.72,73.72,86,38,7.54,5.95,80.54,1579891328
31,Mayor Pablo Lagerenza,96.46,96.46,23,27,12.33,-19.93,-60.77,1579891330
